time,left3,left2,left,center,right,right2,right3,left3_vol,left2_vol,left_vol,center_vol,right_vol,right2_vol,right3_vol,left3_pan,left2_pan,left_pan,center_pan,right_pan,right2_pan,right3_pan,volume_rate
126500,1,1,1,0,2,0,0,0.56,0.7,0.56,999,1,999,999,999,999,999,999,0,999,999,1
129000,0,0,0,0,2,0,0,999,999,999,999,1,999,999,999,999,999,999,0,999,999,1
130000,0,0,0,1,2,0,0,999,999,999,1,1,999,999,999,999,999,0,0,999,999,1
133000,0,0,0,1,1,0,0,999,999,999,1,0,999,999,999,999,999,0,999,999,999,1
135000,0,0,1,0,1,0,0,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
136800,1,1,1,1,1,1,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.51
144000,1,2,1,1,1,2,1,0,0,0,0,0,0,0,999,999,999,999,999,999,999,999
151000,0,0,0,0,0,0,1,999,999,999,999,999,999,1,999,999,999,999,999,999,0,1
152400,0,0,0,0,0,2,1,999,999,999,999,999,1,1,999,999,999,999,999,0,0,1
152600,0,0,0,0,0,2,0,999,999,999,999,999,1,999,999,999,999,999,999,0,999,1
152800,0,0,0,0,1,2,0,999,999,999,999,1,1,999,999,999,999,999,0,0,999,1
153200,0,0,0,0,1,2,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,999
154000,1,0,0,0,0,0,0,1,999,999,999,999,999,999,0,999,999,999,999,999,999,1
154600,1,2,0,0,0,0,0,1,1,999,999,999,999,999,0,0,999,999,999,999,999,1
154800,0,2,0,0,0,0,0,999,1,999,999,999,999,999,999,0,999,999,999,999,999,1
155000,0,2,1,0,0,0,0,999,1,1,999,999,999,999,999,0,0,999,999,999,999,1
155500,1,2,1,1,1,2,1,999,999,999,999,999,999,999,999,999,999,999,999,999,999,0.42
